User,1: Toy Story (1995),1210: Star Wars: Episode VI - Return of the Jedi (1983),356: Forrest Gump (1994),"318: Shawshank Redemption, The (1994)","593: Silence of the Lambs, The (1991)",3578: Gladiator (2000),260: Star Wars: Episode IV - A New Hope (1977),2028: Saving Private Ryan (1998),296: Pulp Fiction (1994),1259: Stand by Me (1986),2396: Shakespeare in Love (1998),2916: Total Recall (1990),780: Independence Day (ID4) (1996),541: Blade Runner (1982),1265: Groundhog Day (1993),"2571: Matrix, The (1999)",527: Schindler's List (1993),"2762: Sixth Sense, The (1999)",1198: Raiders of the Lost Ark (1981),34: Babe (1995)
755,-0.75,2.0,-0.7272727272727271,0.0,0.9285714285714284,1.0833333333333335,-2.3125,-1.0,0.0,0.36363636363636376,-0.9090909090909092,0.0,2.2,-1.2222222222222223,1.8461538461538463,1.1666666666666665,-1.0,2.1666666666666665,0.0,0.0
5277,-1.75,0.0,0.0,-1.6,0.9285714285714284,-0.9166666666666665,1.6875,0.0,0.0,1.3636363636363638,0.09090909090909083,0.18181818181818188,-0.7999999999999998,0.0,-1.1538461538461537,0.0,2.0,-1.8333333333333335,0.09090909090909083,0.0
1577,0.0,0.0,0.0,1.4,-1.0714285714285716,0.0,0.0,0.0,0.0,-1.6363636363636362,0.0,-0.8181818181818181,1.2000000000000002,0.7777777777777777,-2.1538461538461537,-1.8333333333333335,-1.0,0.16666666666666652,-1.9090909090909092,0.0
4388,-0.75,0.0,0.0,0.0,0.0,-1.9166666666666665,0.0,0.0,1.0,0.0,0.0,2.1818181818181817,0.0,-0.22222222222222232,1.8461538461538463,0.0,2.0,-1.8333333333333335,-1.9090909090909092,-1.0
1202,0.0,0.0,1.272727272727273,-2.6,0.9285714285714284,-1.9166666666666665,0.6875,1.0,0.0,-1.6363636363636362,2.090909090909091,-0.8181818181818181,0.0,0.7777777777777777,0.0,0.16666666666666652,2.0,2.1666666666666665,0.0,0.0
3823,0.25,1.0,1.272727272727273,0.3999999999999999,0.0,0.0,-1.3125,-2.0,1.0,1.3636363636363638,2.090909090909091,0.18181818181818188,1.2000000000000002,0.0,-2.1538461538461537,0.0,0.0,0.16666666666666652,0.0,-1.0
5448,0.0,0.0,0.27272727272727293,-2.6,-2.0714285714285716,1.0833333333333335,0.6875,2.0,-1.0,0.0,-1.9090909090909092,0.0,0.0,-0.22222222222222232,0.0,-1.8333333333333335,0.0,0.0,2.090909090909091,-1.0
5347,-0.75,0.0,0.0,0.0,-0.07142857142857162,-0.9166666666666665,0.6875,0.0,0.0,0.0,0.0,0.18181818181818188,-1.7999999999999998,-1.2222222222222223,0.8461538461538463,0.0,-2.0,0.16666666666666652,2.090909090909091,0.0
4117,1.25,-2.0,0.0,0.3999999999999999,-1.0714285714285716,1.0833333333333335,1.6875,1.0,0.0,-1.6363636363636362,-0.9090909090909092,0.0,-1.7999999999999998,0.0,1.8461538461538463,0.0,0.0,0.0,0.0,2.0
2765,1.25,-1.0,0.0,1.4,-0.07142857142857162,0.0,0.6875,0.0,1.0,0.0,0.0,0.0,-0.7999999999999998,0.0,0.0,-0.8333333333333335,2.0,-1.8333333333333335,0.0,0.0
5450,2.25,-2.0,2.272727272727273,0.0,0.0,2.0833333333333335,-1.3125,0.0,0.0,0.0,0.0,1.1818181818181819,-0.7999999999999998,0.0,0.0,-1.8333333333333335,0.0,-0.8333333333333335,-1.9090909090909092,1.0
139,-0.75,2.0,-0.7272727272727271,0.0,0.0,0.0,-0.3125,0.0,-2.0,0.0,0.09090909090909083,0.0,0.20000000000000018,0.0,-1.1538461538461537,2.1666666666666665,0.0,0.0,0.0,-1.0
1940,1.25,0.0,0.0,1.4,0.9285714285714284,0.0,-1.3125,2.0,0.0,0.0,0.0,0.18181818181818188,1.2000000000000002,0.0,-0.15384615384615374,0.0,0.0,0.0,2.090909090909091,0.0
3118,0.25,0.0,0.27272727272727293,0.0,-1.0714285714285716,0.0,-0.3125,0.0,0.0,1.3636363636363638,0.0,-0.8181818181818181,-0.7999999999999998,-1.2222222222222223,-0.15384615384615374,2.1666666666666665,-2.0,0.0,0.0,0.0
4656,-0.75,1.0,0.0,0.0,1.9285714285714284,2.0833333333333335,0.6875,0.0,0.0,2.3636363636363638,0.0,-0.8181818181818181,0.20000000000000018,0.0,-1.1538461538461537,0.0,0.0,0.0,0.09090909090909083,-2.0
4796,0.0,0.0,-1.727272727272727,0.0,-0.07142857142857162,-0.9166666666666665,0.0,-1.0,0.0,-1.6363636363636362,2.090909090909091,0.0,-0.7999999999999998,0.0,0.0,-0.8333333333333335,-1.0,1.1666666666666665,0.09090909090909083,1.0
6037,-0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-0.9090909090909092,0.0,0.20000000000000018,0.0,-0.15384615384615374,1.1666666666666665,0.0,0.0,0.0,0.0
3048,1.25,2.0,-1.727272727272727,1.4,-2.0714285714285716,-1.9166666666666665,0.6875,0.0,2.0,0.0,0.0,0.0,0.0,0.7777777777777777,0.0,0.0,-1.0,-1.8333333333333335,-0.9090909090909092,2.0
4790,-0.75,-2.0,0.27272727272727293,0.0,0.0,1.0833333333333335,1.6875,-2.0,0.0,0.36363636363636376,0.09090909090909083,-0.8181818181818181,0.0,0.0,0.0,-0.8333333333333335,0.0,0.0,0.0,0.0
4489,-0.75,-1.0,-0.7272727272727271,0.3999999999999999,1.9285714285714284,0.0,-2.3125,0.0,-1.0,-0.6363636363636362,-1.9090909090909092,0.0,1.2000000000000002,1.7777777777777777,1.8461538461538463,1.1666666666666665,0.0,2.1666666666666665,0.09090909090909083,0.0
